Asia,Middle East and North Africa,North America,Central America and the Caribbean,Sub-Saharan Africa,Australia and Oceania,Europe
Maldives,Lebanon,Greenland,Panama,Namibia,Kiribati,San Marino
Indonesia,Jordan,United States of America,Nicaragua,Guinea-Bissau,Australia,Belarus
Bhutan,Syria,Mexico,Saint Kitts and Nevis ,Ethiopia,Papua New Guinea,Netherlands
Cambodia,Pakistan,Canada,Dominica,Lesotho,Nauru,Denmark
Uzbekistan,Israel,,Saint Vincent and the Grenadines,Botswana,Tuvalu,Vatican City
Mongolia,Afghanistan,,El Salvador,Democratic Republic of the Congo,Solomon Islands,Bosnia and Herzegovina
Myanmar,Somalia,,Dominican Republic,Central African Republic,Federated States of Micronesia,Czech Republic
South Korea,Iraq,,Jamaica,Mauritania,New Zealand,Serbia
Sri Lanka,Turkey,,Guatemala,Mauritius ,East Timor,Romania
Nepal,Algeria,,Trinidad and Tobago,Mali,Fiji,Montenegro
Philippines,Morocco,,Saint Lucia,Kenya,Tonga,Austria
Malaysia,Iran,,Grenada,Rwanda,Samoa ,Cyprus
Japan,Kuwait,,Costa Rica,Uganda,Vanuatu,Luxembourg
India,Qatar,,Honduras,Burkina Faso,Marshall Islands,Bulgaria
Turkmenistan,Bahrain,,Haiti,Niger,Palau,Ireland
Tajikistan,Egypt,,Antigua and Barbuda ,The Gambia,,Greece
Bangladesh,Oman,,Barbados,Togo,,Armenia
Singapore,Tunisia ,,Belize,Burundi,,Estonia
Kyrgyzstan,Azerbaijan,,Cuba,South Sudan,,Spain
Brunei,United Arab Emirates,,The Bahamas,Eritrea,,Russia
Vietnam,Yemen,,,Swaziland,,Slovakia
Laos,Libya,,,Guinea,,United Kingdom
China,Saudi Arabia,,,Nigeria,,Sweden
Thailand,,,,Chad,,Liechtenstein
Kazakhstan,,,,Mozambique,,Monaco
Taiwan,,,,Tanzania,,Iceland
North Korea,,,,Malawi,,Hungary
,,,,Sudan,,Kosovo
,,,,Cameroon,,Poland
,,,,Liberia,,Lithuania
,,,,Republic of the Congo,,Andorra
,,,,Sao Tome and Principe,,Moldova 
,,,,Djibouti,,Belgium
,,,,Comoros,,Portugal
,,,,Zambia,,Switzerland
,,,,Zimbabwe,,Croatia
,,,,South Africa,,Norway
,,,,Gabon,,Albania
,,,,Benin,,France
,,,,Angola,,Slovenia
,,,,Madagascar,,Germany
,,,,Ghana,,Ukraine
,,,,Sierra Leone,,Macedonia
,,,,Senegal,,Malta
,,,,Equatorial Guinea,,Latvia
,,,,Seychelles ,,Italy
,,,,Cape Verde,,Finland
,,,,Cote d'Ivoire,,Georgia
